Subject,,420_EOYS_images,Ada_EOYS_images,Adams_EOYS_images,DD_EOYS_images,Esmanifold_EOYS_images,Grant_EOYS_images,Lydia_EOYS_images,Olifa_EOYS_images,Taylor_EOYS_images,Tracy_EOYS_images,alex_EOYS_images,brenda_EOYS_images,bridge_EOYS_images,christina hefancui_EOYS_images,jake_EOYS_images,manyfolds_EOYS_images,marco_EOYS_images,nanaannana_EOYS_images,payton_EOYS_images,rumi_EOYS_images,seth_EOYS_images,shaokang_EOYS_images,shawxiao_EOYS_images,tl_EOYS_images,yve_EOYS_images
01_baldessari.csv,0,383,221,289,138,340,422,444,468,218,1172,136,237,211,412,995,208,796,275,222,511,390,167,207,397,96
02_world_photo.csv,0,296,170,240,77,217,147,341,335,118,996,162,271,290,402,591,200,188,244,197,162,135,182,284,462,103
03_baldessari.csv,0,278,159,238,33,388,265,252,307,194,503,144,282,342,329,1086,172,192,320,359,226,280,177,312,335,98
04_berlin_wall_bresson.csv,0,150,125,228,36,342,167,653,149,154,587,189,220,129,529,886,162,168,201,242,104,251,128,316,322,78
05_cartierbresson_hyeres_1932.csv,0,180,160,173,23,316,127,228,193,170,531,124,179,77,210,900,232,145,196,179,174,247,113,188,250,72
06_evidence_pp35_sultan.csv,0,387,181,198,50,147,318,121,481,167,1352,249,264,87,241,1242,752,471,300,446,109,233,134,295,526,111
07_gilden.csv,0,218,198,160,20,258,202,287,162,162,708,161,228,79,260,914,163,431,215,224,130,191,78,216,255,84
08_rodchenko.csv,0,179,186,271,24,383,257,365,259,226,580,110,187,145,407,1421,183,342,350,238,252,248,172,453,197,120
09_polke.csv,0,231,156,271,32,730,900,318,430,197,1407,241,286,122,510,2089,249,344,519,488,234,157,202,352,165,143
10_jones_1.csv,0,248,125,190,22,329,149,428,109,146,303,127,176,89,148,887,151,188,336,361,213,200,115,222,139,106
11_jones_2.csv,0,178,168,264,12,263,188,256,82,137,421,134,238,89,114,655,65,230,217,276,161,146,76,198,221,98
12_bishop.csv,0,181,88,157,18,403,108,176,130,92,455,74,139,96,169,317,105,173,195,156,177,76,39,212,158,108
